name,url,status,ratings_to_scrape
ao thun,https://shopee.vn/%C3%81o-thun-nam-ng%E1%BA%AFn-tay-TORANO-ch%E1%BA%A5t-Cotton-m%C3%A1t-l%E1%BA%A1nh-tho%C3%A1ng-kh%C3%AD-co-gi%C3%A3n-tho%E1%BA%A3i-m%C3%A1i-th%E1%BA%A5m-h%C3%BAt-m%E1%BB%93-h%C3%B4i-FSTS001-i.835435.14563509948,scraped,[]
son romand,https://shopee.vn/-Rom-nd-Son-Tint-l%C3%AC-cho-m%C3%B4i-c%C4%83ng-m%E1%BB%8Dng-H%C3%A0n-Qu%E1%BB%91c-Romand-Juicy-Lasting-Tint-5.5g-i.590427230.14613920375,scraped,[]
phan ma judydoll,https://shopee.vn/Ph%E1%BA%A5n-M%C3%A1-H%E1%BB%93ng-JUDYDOLL-2g-%C4%90%C6%A1n-S%E1%BA%AFc-M%E1%BB%8Bn-L%C3%AC-Chu%E1%BA%A9n-M%C3%A0u-Trang-%C4%90i%E1%BB%83m-T%E1%BB%B1-Nhi%C3%AAn-L%C3%A2u-Tr%C3%B4i-B%E1%BB%81n-M%C3%A0u-Su%E1%BB%91t-24h-i.341989119.3269390370,scraped,[]
highlight judydoll,https://shopee.vn/B%E1%BA%A3ng-Ph%E1%BA%A5n-B%E1%BA%AFt-S%C3%A1ng-T%E1%BA%A1o-Kh%E1%BB%91i-JUDYDOLL-9g-L%C3%A2u-Tr%C3%B4i-L%C3%AAn-M%C3%A0u-Chu%E1%BA%A9n-T%E1%BB%B1-Nhi%C3%AAn-M%E1%BB%8Bn-M%C3%A0ng-T%E1%BA%A1o-Hi%E1%BB%87u-%E1%BB%A8ng-3D-B%E1%BA%AFt-S%C3%A1ng-M%C3%A0u-B%C3%B3ng-4-Trong-1-i.341989119.19111977125,scraped,[]
tay da chet dove,https://shopee.vn/Combo-2-T%E1%BA%A9y-Da-Ch%E1%BA%BFt-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-To%C3%A0n-Th%C3%A2n-Dove-298g-x-2-i.111138057.22309878550,scraped,[]
nuoc sen cocoon,https://shopee.vn/Bigsize-N%C6%B0%E1%BB%9Bc-sen-H%E1%BA%ADu-Giang-(toner)-gi%C3%BAp-ph%E1%BB%A5c-h%E1%BB%93i-%C4%91a-nhi%E1%BB%87m-cho-da-r%E1%BA%A5t-nh%E1%BA%A1y-c%E1%BA%A3m-Cocoon-310ml-i.175753395.25779169863?sp_atk=c9bd2c85-6c93-4705-b8f4-d7d50a3e39a0&xptdk=c9bd2c85-6c93-4705-b8f4-d7d50a3e39a0,scraped,[]
tay trang garnier,https://shopee.vn/N%C6%B0%E1%BB%9Bc-T%E1%BA%A9y-Trang-l%C3%A0m-s%E1%BA%A1ch-s%C3%A2u-d%E1%BB%8Bu-nh%E1%BA%B9-cho-m%E1%BB%8Di-lo%E1%BA%A1i-da-Garnier-Micellar-Cleansing-Water-400ml-i.421677475.10707015149,scraped,[]
lan khu mui nivea,https://shopee.vn/L%C4%83n-Ng%C4%83n-M%C3%B9i-NIVEA-S%C3%A1ng-M%E1%BB%8Bn-M%E1%BB%9D-Th%C3%A2m-Se-Kh%C3%ADt-L%E1%BB%97-Ch%C3%A2n-L%C3%B4ng-(50-ml)-81644-i.61922582.1061376888,scraped,[]
sua duong the vaseline,https://shopee.vn/Serum-Vaseline-Gluta-Hya-D%C6%B0%E1%BB%A1ng-Da-S%C3%A1ng-M%E1%BB%8Bn-Sau-7-Ng%C3%A0y-330ML-i.1397276155.29118467747?sp_atk=9a020a5f-83b7-4bdc-9b9c-f1f8d4360a06&xptdk=9a020a5f-83b7-4bdc-9b9c-f1f8d4360a06,not scraped,"[1, 2, 3, 4, 5]"
kem chong nang loreal,https://shopee.vn/Kem-ch%E1%BB%91ng-n%E1%BA%AFng-si%C3%AAu-m%E1%BB%8Bn-nh%E1%BA%B9-b%E1%BA%A3o-v%E1%BB%87-da-t%E1%BB%91i-%C6%B0u-L%E2%80%99Oreal-Paris-UV-Defender-Serum-SPF50-PA--i.37251933.8143545820?sp_atk=91f14eb4-1f83-400c-a8c0-e4afeef966b7&xptdk=91f14eb4-1f83-400c-a8c0-e4afeef966b7,not scraped,"[1, 2, 3, 4, 5]"
